orig_hname,new_hname,hclass,horder,hfamily,genus,spp,subspp
Acipenser ruthenus,Acipenser ruthenus,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,ruthenus,NA
Acipenser schrenckii,Acipenser schrenckii,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,schrenckii,NA
Acipenser sinensis,Acipenser sinensis,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,sinensis,NA
Acipenser stellatus,Acipenser stellatus,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,stellatus,NA
Acipenser sturio,Acipenser sturio,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,sturio,NA
Acipenser transmontanus,Acipenser transmontanus,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,transmontanus,NA
Acnodon normani,Acnodon normani,Actinopterygii,Characiformes,Characidae,Acnodon,normani,NA
Acrocheilus alutaceus,Acrocheilus alutaceus,Actinopterygii,Cypriniformes,Cyprinidae,Acrocheilus,alutaceus,NA
Acropoma japonicum,Acropoma japonicum,Actinopterygii,Perciformes,Acropomatidae,Acropoma,japonicum,NA
Acrossocheilus fasciatus,Acrossocheilus fasciatus,Actinopterygii,Cypriniformes,Cyprinidae,Acrossocheilus,fasciatus,NA
Acrossocheilus longipinnis,Acrossocheilus longipinnis,Actinopterygii,Cypriniformes,Cyprinidae,Acrossocheilus,longipinnis,NA
Acrossocheilus yunnanensis,Acrossocheilus yunnanensis,Actinopterygii,Cypriniformes,Cyprinidae,Acrossocheilus,yunnanensis,NA
Aequidens coeruleopunctatus,Andinoacara coeruleopunctatus,Actinopterygii,Cyprinodontiformes,Rivulidae,Andinoacara,coeruleopunctatus,NA
Aequidens pulcher,Andinoacara pulcher,Actinopterygii,Perciformes,Cichlidae,Andinoacara,pulcher,NA
Aesopia cornuta,Aesopia cornuta,Actinopterygii,Pleuronectiformes,Soleidae,Aesopia,cornuta,NA
Aetobatus ocellatus,Aetobatus ocellatus,Chondrichthyes,Rajiformes,Myliobatidae,Aetobatus,ocellatus,NA
Aetomylaeus maculatus,Aetomylaeus maculatus,Chondrichthyes,Rajiformes,Myliobatidae,Aetomylaeus,maculatus,NA
Aetomylaeus nichofii,Aetomylaeus nichofii,Chondrichthyes,Rajiformes,Myliobatidae,Aetomylaeus,nichofii,NA
Aetomylaeus vespertilio,Aetomylaeus vespertilio,Chondrichthyes,Rajiformes,Myliobatidae,Aetomylaeus,vespertilio,NA
Ageneiosus inermis,Ageneiosus inermis,Actinopterygii,Siluriformes,Auchenipteridae,Ageneiosus,inermis,NA
Ageneiosus militaris,Ageneiosus militaris,Actinopterygii,Siluriformes,Auchenipteridae,Ageneiosus,militaris,NA
Ageneiosus pardalis,Ageneiosus pardalis,Actinopterygii,Siluriformes,Auchenipteridae,Ageneiosus,pardalis,NA
Agonostomus monticola,Agonostomus monticola,Actinopterygii,Mugiliformes,Mugilidae,Agonostomus,monticola,NA
