old_pname	new_pname
Hamacreadium longisaccum	Hamacreadium longisaccum
Hamacreadium mutabile	Hamacreadium mutabile
Hamacreadium oscitans	Cainocreadium oscitans
Hamacreadium rastrellii	Hamacreadium rastrellii
Hamacreadium xishaense	Hamacreadium xishaense
Hamatopeduncularia arii	Hamatopeduncularia arii
Hamatopeduncularia australis	Hamatopeduncularia australis
Hamatopeduncularia bagre	Hamatopeduncularia bagre
Hamatopeduncularia brisbanensis	Hamatopeduncularia brisbanensis
Hamatopeduncularia elegans	Hamatopeduncularia elegans
Hamatopeduncularia heraldii	Hamatopeduncularia heraldii
Hamatopeduncularia indica	Hamatopeduncularia indica
Hamatopeduncularia isosimplex	Hamatopeduncularia isosimplex
Hamatopeduncularia kritskyi	Hamatopeduncularia kritskyi
Hamatopeduncularia lucknowensis	Hamatopeduncularia lucknowensis
Hamatopeduncularia major	Hamatopeduncularia major
Hamatopeduncularia malaccensis	Hamatopeduncularia malaccensis
Hamatopeduncularia malayanus	Hamatopeduncularia malayanus
Hamatopeduncularia nagibinae	Hamatopeduncularia nagibinae
Hamatopeduncularia nanaoensis	Hamatopeduncularia nanaoensis
Hamatopeduncularia papernai	Hamatopeduncularia papernai
Hamatopeduncularia pearsoni	Hamatopeduncularia pearsoni
Hamatopeduncularia pulchra	Hamatopeduncularia pulchra
Hamatopeduncularia simplex	Hamatopeduncularia simplex
Hamatopeduncularia sohani	Hamatopeduncularia sohani
Hamatopeduncularia spiralis	Hamatopeduncularia spiralis
Hamatopeduncularia thalassini	Hamatopeduncularia thalassini
Hamatopeduncularia theroponi	Hamatopeduncularia theroponi
Hamatopeduncularia wallagonius	Hamatopeduncularia wallagonius
Hamatopeduncularia yogendrai	Hamatopeduncularia yogendrai
Hapalotrema flecterotestis	Hapalotrema flecterotestis
Hapladena acanthuri	Hapladena acanthuri
Hapladena megatyphlon	Hapladena megatyphlon
Hapladena nasonis	Hapladena nasonis
Hapladena tanyorchis	Hapladena tanyorchis
Haplobothrium bistrobilae	Haplobothrium bistrobilae
Haplobothrium globuliforme	Haplobothrium globuliforme
Haplobothrium golbuliforme	Haplobothrium globuliforme
Haplocladus typicus	Haplocladus typicus
Haplocleidus affinis	Haplocleidus affinis
Haplocleidus dispar	Haplocleidus dispar
Haplocleidus furcatus	Haplocleidus furcatus
Haplocleidus gomtius	Haplocleidus gomtius
Haplocleidus octocotylus	Haplocleidus octocotylus
Haplocleidus vachi	Haplocleidus vachi
Haplodidentus indicus	Haplodidentus indicus
Haplometrana simibramae	Haplometrana simibramae
Haplonema hamulatum	Haplonema hamulatum
Haplonema immutatum	Haplonema immutatum
Haplorchis pumilio	Haplorchis pumilio
Haplorchis taichui	Haplorchis taichui
Haplorchis taichuri	Haplorchis taichui
Haplorchoides cahirinus	Haplorchoides cahirinus
Haplorchoides gangeticus	Haplorchoides gangeticus
Haplorchoides gwaliorensis	Haplorchoides gwaliorensis
Haplorchoides mehrai	Haplorchoides mehrai
Haplorchoides sindicus	Haplorchoides sindicus
Haplorchoides taunsaensis	Haplorchoides taunsaensis
Haplorchoides vacha	Haplorchoides vacha
Haplorchoides wallagoi	Haplorchoides wallagoi
Haplosplanchnoides hemiramphi	Haplosplanchnoides hemiramphi
Haplosplanchnus girellae	Schikhobalotrema girellae
Haplosplanchnus kyphosi	Haplosplanchnus kyphosi
Haplosplanchnus otolithi	Haplosplanchnus otolithi
Haplosplanchnus purii	Haplosplanchnus purii
Haplosplanchnus sparisomae	Schikhobalotrema sparisomae
Haplosplanchnus straightum	Haplosplanchnus straightum
Hargicola oligoplites	Hargicola oligoplites
Hargicotyle chimbotensis	Hargicotyle chimbotensis
Hargicotyle concepcionensis	Hargicotyle concepcionensis
Hargicotyle lousianensis	Hargicotyle louisianensis
Hargicotyle menticirrhi	Hargicotyle menticirrhi
Hargicotyle pacifica	Hargicotyle pacifica
Hargicotyle paralonchuri	Hargicotyle paralonchuri
Hargicotyle peruensis	Hargicotyle peruensis
Hargicotyle sciaenae	Hargicotyle sciaenae
Hargisia bairdiella	Hargisia bairdiella
Harriscolex kaparari	Harriscolex kaparari
Harvadia sandgroundi	Harvadia sandgroundi
Hassallius hassalli	Hassallius hassalli
Hebesoma violenteum	Hebesoma violenteum
Hebesoma violentum	Hebesoma violentum
Hedruris spinigera	Hedruris spinigera
Hedruris suttonae	Hedruris suttonae
Helicirrus megaanchor	Helicirrus megaanchor
Helicirrus splendida	Helicirrus splendida
Helicodidymozoon helicis	Helicodidymozoon helicis
Helicodidymozoon tortor	Helicodidymozoon tortor
Helicometra antarcticae	Helicometra antarcticae
Helicometra aposinuata	Helicometra aposinuata
Helicometra borneoensis	Helicometra borneoensis
Helicometra boseli	Helicometra boseli
Helicometra dochmosorchis	Helicometra fasciata
Helicometra epinepheli	Helicometra epinepheli
Helicometra equilata	Helicometra equilata
Helicometra execta	Helicometra execta
Helicometra fasciata	Helicometra fasciata
Helicometra flava	Helicometra flava
Helicometra fusiformis	Helicometra fusiformis
Helicometra gibsoni	Helicometra gibsoni
Helicometra gobii	Helicometra gobii
Helicometra grandora	Helicometra grandora
Helicometra hapalogenyos	Helicometra hapalogenyos
Helicometra hypodytis	Helicometra hypodytis
Helicometra insolita	Helicometra insolita
Helicometra mirzai	Helicometra mirzai
Helicometra nasae	Helicometra nasae
Helicometra nimia	Helicometrina nimia
Helicometra paracirrhiti	Helicometra paracirrhiti
Helicometra pisanoae	Helicometra pisanoae
Helicometra pleurogrammi	Helicometra pleurogrammi
Helicometra plovmornini	Helicometra plovmornini
Helicometra pugetensis	Helicometra pugetensis
Helicometra pulchella	Helicometra pulchella
Helicometra quadrorchis	Helicometrina quadrorchis
Helicometra rakusai	Helicometra rakusai
Helicometra robinsorum	Helicometra robinsorum
Helicometra sebastis	Helicometra sebastis
Helicometra selaroides	Helicometra selaroides
Helicometra sinipercae	Helicometra sinipercae
Helicometra sinuata	Helicometra sinuata
Helicometra sulca	Helicometra sulca
Helicometra torta	Helicometra torta
Helicometra upapalu	Helicometra fasciata
Helicometrina delicatulus	Helicometrina delicatulus
Helicometrina elongata	Helicometrina elongata
Helicometrina execta	Helicometrina execta
Helicometrina indica	Helicometrina indica
Helicometrina karachiensis	Helicometrina karachiensis
Helicometrina mirzai	Helicometrina mirzai
Helicometrina nimia	Helicometrina nimia
Helicometrina orientalis	Helicometrina orientalis
Helicometrina ortezi	Helicometrina ortezi
Helicometrina otolithi	Helicometrina otolithi
Helicometrina quadrorchis	Helicometrina quadrorchis
Helicometrina trachinoti	Helicometrina trachinoti
Heliconema baylisi	Heliconema baylisi
Heliconema brevispiculum	Heliconema brevispiculum
Heliconema brooksi	Heliconema brooksi
Heliconema hamiltonii	Heliconema hamiltonii
Heliconema heliconema	Heliconema heliconema
Heliconema izecksohni	Heliconema izecksohni
Heliconema longissima	Heliconema longissima
Heliconema minnanensis	Heliconema minnanensis
Heliconema psammobatis	Heliconema psammobatis
Heliconema savala	Heliconema savala
Heligmus longicirrus	Heligmus longicirrus
Heliocotyle ewingi	Heliocotyle ewingi
Helixaxine nemipteri	Helixaxine nemipteri
Helixaxine winteri	Helixaxine winteri
Helostomatis cirrhini	Helostomatis cirrhini
Helostomatis cyprinorum	Helostomatis cyprinorum
Helostomatis fotedari	Helostomatis fotedari
Helostomatis helostomatis	Helostomatis helostomatis
Helostomatis indica	Helostomatis indica
Helostomatis muelleri	Helostomatis muelleri
Helostomatis sakrei	Helostomatis sakrei
Hemionchos major	Hemionchos major
Hemionchos mobulae	Hemionchos mobulae
Hemionchos striatus	Hemionchos striatus
Hemipera magnaprostatica	Hemipera magnaprostatica
Hemipera ovocaudata	Hemipera ovocaudata
Hemiperina nicolli	Hemiperina nicolli
Hemirhadinorhynchus leuciscus	Hemirhadinorhynchus leuciscus
Hemirhamphiculus armatus	Hemirhamphiculus armatus
Hemistomum haustrum	Hemistomum haustrum
Hemitagia galapagensis	Hemitagia galapagensis
Hemiurus arelisci	Hemiurus arelisci
Hemiurus coiliae	Hemiurus coiliae
Hemiurus crenatus	Hemiaulus crenatus
Hemiurus ocreatus	Hemiurus ocreatus
Hemiurus raabei	Hemiurus raabei
Hemiurus rugosus	Hemiurus rugosus
Hemiurus sigani	Hemiurus sigani
Hepaticola bakeri	Hepaticola bakeri
Hepaticola petruschewskii	Hepaticola petruschewskii
Hepatinema karachiensis	Hepatinema karachiensis
Hepatinema kherai	Hepatinema kherai
Hepatoxylon attenuatus	Hepatoxylon attenuatus
Hepatoxylon marina	Hepatoxylon marina
Hepatoxylon megacephalum	Hepatoxylon megacephalum
Hepatoxylon squali	Hepatoxylon squali
Hepatoxylon stenocephala	Hepatoxylon stenocephala
Hepatoxylon trichiuri	Hepatoxylon trichiuri
Heptachona caudata	Heptachona caudata
Heptachona sindica	Heptachona sindica
Heptochona rivdica	Heptochona rivdica
Heptochona stromatei	Heptochona stromatei
Heptochona varmai	Heptochona varmai
Heptochona yamagutii	Heptochona yamagutii
Heteracanthocephalus dissosthychi	Heteracanthocephalus dissosthychi
Heterakis foveolata	Heterakis foveolata
Heterapta chorinemi	Heterapta chorinemi
Heteraxine argentea	Heteraxine argentea
Heteraxine cokeri	Heteraxine cokeri
Heteraxine heterocerca	Heteraxine heterocerca
Heteraxine louiseuzeti	Heteraxine louiseuzeti
Heteraxine seriolae	Heteraxine seriolae
Heteraxine xanthophilis	Heteraxine xanthophilis
Heteraxinoides chinesis	Heteraxinoides chinesis
Heteraxinoides hargisi	Heteraxinoides hargisi
Heteraxinoides inada	Heteraxinoides inada
Heteraxinoides novaezealandiae	Heteraxinoides novaezealandiae
Heteraxinoides novaezelandicus	Heteraxinoides novaezelandicus
Heteraxinoides oligoplitis	Heteraxinoides oligoplitis
Heteraxinoides regis	Heteraxinoides regis
Heteraxinoides xanthophilis	Heteraxinoides xanthophilis
Heteraxinoides xanthophiloides	Heteraxinoides xanthophiloides
Heteraxinoides zhukovi	Heteraxinoides zhukovi
Heterobothrioides psenesi	Heterobothrioides psenesi
Heterobothrium bychowskyi	Heterobothrium bychowskyi
Heterobothrium cynoscioni	Neoheterobothrium cynoscioni
Heterobothrium ecuadori	Heterobothrium ecuadori
Heterobothrium fluviatilis	Heterobothrium fluviatilis
Heterobothrium lamothei	Heterobothrium lamothei
Heterobothrium okamotoi	Heterobothrium okamotoi
Heterobothrium praeorchis	Heterobothrium praeorchis
Heterobothrium shinagawai	Heterobothrium shinagawai
Heterobothrium tetrodonis	Heterobothrium tetrodonis
Heterobothrium tonkinensis	Heterobothrium tonkinensis
Heterobothrium yamagutii	Heterobothrium yamagutii
Heterocotyle americana	Heterocotyle americana
Heterocotyle capricornensis	Heterocotyle capricornensis
Heterocotyle chinensis	Heterocotyle chinensis
Heterocotyle dasyatis	Heterocotyle dasyatis
Heterocotyle elliptica	Heterocotyle elliptica
Heterocotyle forcifera	Heterocotyle forcifera
Heterocotyle granulatae	Heterocotyle granulatae
Heterocotyle minima	Heterocotyle minima
Heterocotyle mokhtarae	Heterocotyle mokhtarae
Heterocotyle pastinacae	Heterocotyle pastinacae
Heterocotyle robusta	Heterocotyle robusta
Heterocotyle striata	Heterocotyle striata
Heterolebes diodonti	Heterolebes diodonti
Heterolebes dongshanensis	Heterolebes dongshanensis
Heterolebes immaculosus	Heterolebes immaculosus
Heterolebes lagocephali	Heterolebes lagocephali
Heterolebes maculosus	Heterolebes maculosus
Heterolebes sinensis	Heterolebes sinensis
Heterolebes spari	Heterolebes spari
Heteromazocraes coiliae	Heteromazocraes coiliae
Heteromazocraes hexacanthus	Heteromazocraes hexacanthus
Heteromazocraes lingmueni	Heteromazocraes lingmueni
Heteromazocraes mamaevi	Heteromazocraes mamaevi
Heteromicrocotyla atriospinata	Heteromicrocotyla atriospinata
Heteromicrocotyla carangis	Heteromicrocotyla carangis
Heteromicrocotyla indicus	Heteromicrocotyla indicus
Heteromicrocotyla paruchini	Heteromicrocotyla paruchini
Heteromicrocotyla polyorchis	Heteromicrocotyla polyorchis
Heteromicrocotyla vaginispina	Heteromicrocotyla vaginispina
Heteromicrocotyloides megaspinosus	Heteromicrocotyloides megaspinosus
Heteromicrocotyloides mirabilis	Heteromicrocotyloides mirabilis
Heteronchocleidus adjanohouni	Heteronchocleidus adjanohouni
Heteronchocleidus asymmetricus	Heteronchocleidus asymmetricus
Heteronchocleidus athari	Heteronchocleidus athari
Heteronchocleidus bushkielli	Heteronchocleidus bushkielli
Heteronchocleidus ctenopomae	Heteronchocleidus ctenopomae
Heteronchocleidus magnihamatus	Heteronchocleidus magnihamatus
Heteronchocleidus ouemensis	Heteronchocleidus ouemensis
Heteronchocleidus stunkardi	Heteronchocleidus stunkardi
Heteronchocleidus tuzetae	Heteronchocleidus tuzetae
Heteronchocotyle gymnurae	Heteronchocotyle gymnurae
Heteronchocotyle hypoprioni	Heteronchocotyle hypoprioni
Heteronybelinia annakohnae	Heteronybelinia annakohnae
Heteronybelinia australis	Heteronybelinia australis
Heteronybelinia elongata	Heteronybelinia elongata
Heteronybelinia estigmena	Heteronybelinia estigmena
Heteronybelinia heteromorphi	Heteronybelinia heteromorphi
Heteronybelinia minima	Heteronybelinia minima
Heteronybelinia nipponica	Heteronybelinia nipponica
Heteronybelinia palliata	Heteronybelinia palliata
Heteronybelinia pseudorobusta	Heteronybelinia pseudorobusta
Heteronybelinia robusta	Heteronybelinia robusta
Heteronybelinia yamagutii	Heteronybelinia yamagutii
Heterophyes dispar	Heterophyes dispar
Heterophyopsis expectans	Heterophyopsis expectans
Heteroplectanum diplobulbus	Heteroplectanum diplobulbus
Heteroplectanum kyphosi	Heteroplectanum kyphosi
Heteroplectanum nenue	Heteroplectanum nenue
Heteroplectanum nenuoides	Heteroplectanum nenuoides
Heteroplectanum oliveri	Heteroplectanum oliveri
Heteroplectanum parastromatei	Heteroplectanum parastromatei
Heteroplectanum serrulopenis	Heteroplectanum serrulopenis
Heteroplectanum spiculare	Heteroplectanum spiculare
Heteroplectanum yamagutii	Heteroplectanum yamagutii
Heterorchis protopteri	Heterorchis protopteri
Heterosentis heteracanthus	Heterosentis heteracanthus
Heterosentis magellanicus	Heterosentis magellanicus
Heterosentis overstreeti	Heterosentis overstreeti
Heterosentis paraplagusiarum	Heterosentis paraplagusiarum
Heterosentis parasiluri	Heterosentis parasiluri
Heterosentis plotosi	Heterosentis plotosi
Heterosphyriocephalus cheuluniae	Heterosphyriocephalus cheuluniae
Heterotesia voltae	Heterotesia voltae
Heterothecium dicrophallum	Heterothecium dicrophallum
Heterothecium globatum	Heterothecium globatum
Heterotyphlum eurycheilum	Heterotyphlum eurycheilum
Heterotyphlum himantolophi	Heterotyphlum himantolophi
Heterotyphlum obtusocaudatum	Heterotyphlum obtusocaudatum
Heterovitellus atlanticus	Heterovitellus atlanticus
Hexabothrium akaroensis	Hexabothrium akaroensis
Hexabothrium appendiculatum	Hexabothrium appendiculatum
Hexabothrium musteli	Hexabothrium musteli
Hexacanalis thapari	Hexacanalis thapari
Hexacotyla acuta	Hexacotyla acuta
Hexacotyla thymi	Hexacotyla thymi
Hexacotyla thynni	Hexacotyla thynni
Hexaglandula mutabilis	Hexaglandula mutabilis
Hexangitrema brevicaecum	Hexangitrema brevicaeca
Hexangitrema caballeroi	Hexangitrema caballeroi
Hexangitrema pricei	Hexangitrema pricei
Hexangium elongatum	Hexangium elongatum
Hexangium leptosomum	Hexangium leptosomum
Hexangium sigani	Hexangium sigani
Hexaspiron spinibarbi	Hexaspiron spinibarbi
Hexocyclobothrium anthias	Hexocyclobothrium anthias
Hexostoma acutum	Hexostoma acutum
Hexostoma auxisi	Hexostoma auxisi
Hexostoma euthynni	Hexostoma euthynni
Hexostoma grossa	Hexostoma grossa
Hexostoma grossum	Hexostoma grossum
Hexostoma keokeo	Hexostoma keokeo
Hexostoma lintoni	Hexostoma lintoni
Hexostoma pricei	Neohexostoma pricei
Hexostoma sibi	Hexostoma sibi
Hexostoma thunninae	Hexostoma thunninae
Hexostoma thynni	Hexostoma thynni
Himasomum candidulum	Pleurogonius candidulus
Himasomum candidulus	Himasomum candidulus
Hirudinella ahi	Hirudinella ahi
Hirudinella beebei	Hirudinella ventricosa
Hirudinella beebi	Hirudinella beebi
Hirudinella clavata	Hirudinella clavata
Hirudinella elavata	Hirudinella ventricosa
Hirudinella marina	Hirudinella marina
Hirudinella phalloides	Hirudinella phalloides
Hirudinella xishaensis	Hirudinella xishaensis
Holorchis micracanthum	Holorchis micracanthum
Holorchis plectorhynchi	Holorchis plectorhynchi
Holorchis pulcher	Holorchis pulcher
Holostephanus ictaluri	Holostephanus ictaluri
Holostomum clavus	Holostomum clavus
Homalometron armatum	Homalometron armatum
Homalometron balistis	Homalometron balistis
Homalometron caballeroi	Homalometron caballeroi
Homalometron carapevae	Homalometron carapevae
Homalometron cryptum	Homalometron cryptum
Homalometron cupuloris	Homalometron cupuloris
Homalometron dowgialloi	Homalometron dowgialloi
Homalometron elongatum	Homalometron elongatum
Homalometron foliatum	Homalometron foliatum
Homalometron galaicus	Homalometron galaicus
Homalometron longisinosum	Homalometron longisinosum
Homalometron longulum	Homalometron longulum
Homalometron manteri	Homalometron manteri
Homalometron mexicanum	Homalometron mexicanum
Homalometron pallidum	Homalometron pallidum
Homalometron papilliferum	Homalometron papilliferum
Homalometron pearsei	Homalometron pearsei
Homalometron pseudopallidum	Homalometron pseudopallidum
Homalometron senegalense	Homalometron senegalense
Homalometron sophiae	Homalometron sophiae
Homalometron stradbrokensis	Homalometron stradbrokensis
Homalometron synagris	Homalometron synagris
Homalometron verrunculi	Homalometron verrunculi
Homalometron vinodae	Homalometron vinodae
Homalometron wrightae	Homalometron wrightae
Horatrema crassum	Horatrema crassum
Hornelliella annandalei	Hornelliella annandalei
Horricauda rhinobatidis	Horricauda rhinobatidis
Hudsonia agassizi	Allosteganoderma agassizi
Huffmanela balista	Huffmanela balista
Huffmanela banningi	Huffmanela banningi
Huffmanela huffmani	Huffmanela huffmani
Huffmanela longa	Huffmanela longa
Huffmanela mexicana	Huffmanela mexicana
Huffmanela paronai	Huffmanela paronai
Huffmanela schouteni	Huffmanela schouteni
Huffmanela shikokuensis	Huffmanela shikokuensis
Hunterella nodulosa	Hunterella nodulosa
Hurleytrema chaetodoni	Hurleytrema chaetodoni
Hurleytrema eucinostomi	Pseudohurleytrema eucinostomi
Hurleytrema hainanensis	Hurleytrema hainanensis
Hurleytrema longitestis	Pseudohurleytrema longitestis
Hurleytrematoides bartolii	Hurleytrematoides bartolii
Hurleytrematoides coronatum	Hurleytrematoides coronatum
Hurleytrematoides curacaensis	Hurleytrematoides curacaensis
Hurleytrematoides fijiensis	Hurleytrematoides fijiensis
Hurleytrematoides filiformis	Hurleytrematoides filiformis
Hurleytrematoides malabonensis	Hurleytrematoides malabonensis
Hurleytrematoides melabonensis	Hurleytrema malabonense
Hurleytrematoides prevoti	Hurleytrematoides prevoti
Hurleytrematoides zebrasomae	Hurleytrematoides zebrasomae
Hyperandrotrema cetorhini	Hyperandrotrema cetorhini
Hypertrema ambovatum	Hypertrema ambovatum
Hypocreadium balistes	Hypocreadium balistes
Hypocreadium cavum	Hypocreadium cavum
Hypocreadium galapagoensis	Hypocreadium galapagoensis
Hypocreadium grandisquamis	Hypocreadium grandisquamis
Hypocreadium indicum	Hypocreadium indicum
Hypocreadium lactophrysi	Hypocreadium lactophrysi
Hypocreadium lamelliforme	Hypocreadium lamelliforme
Hypocreadium myohelicatum	Hypocreadium myohelicatum
Hypocreadium patellare	Hypocreadium patellare
Hypocreadium scaphosomum	Hypocreadium scaphosomum
Hypocreadium symmetrorchis	Hypocreadium symmetrorchis
Hypoechinorhynchus alaeopis	Hypoechinorhynchus alaeopis
Hypoechinorhynchus magellanicus	Hypoechinorhynchus magellanicus
Hypohepaticola setipinnae	Hypohepaticola setipinnae
Hysterogonia balistis	Hysterogonia balistis
Hysterogonia rubroacetabulum	Hysterogonia rubroacetabulum
Hysterogonoides disaccus	Hysterogonoides disaccus
Hysterolecitha acanthuri	Hysterolecitha acanthuri
Hysterolecitha arii	Hysterolecitha arii
Hysterolecitha brasiliensis	Hysterolecitha brasiliensis
Hysterolecitha crassivesiculatus	Hysterolecitha crassivesiculatus
Hysterolecitha heronensis	Hysterolecitha heronensis
Hysterolecitha ovarilobulus	Hysterolecitha ovarilobulus
Hysterolecitha palani	Hysterolecitha palani
Hysterolecitha pseudorosea	Hysterolecitha pseudorosea
Hysterolecitha sigani	Hysterolecitha sigani
Hysterolecitha sogandaresi	Hysterolecitha sogandaresi
Hysterolecitha soganderesi	Hysterolecitha soganderesi
Hysterolecitha soniae	Hysterolecitha soniae
Hysterolecitha tinkeri	Thulinia tinkeri
Hysterolecitha triacanthi	Hysterolecitha triacanthi
Hysterolecithoides epinepheli	Hysterolecithoides epinepheli
Hysterolecithoides frontilatus	Hysterolecithoides frontilatus
Hysterolecithoides pseudorosea	Hysterolecithoides pseudorosea
Hysterolecithoides sebrasomatis	Hysterolecithoides zebrasomatis
Hysteromorpha triloba	Hysteromorpha triloba
Hysterothylacium adunca	Hysterothylacium aduncum
Hysterothylacium aduncum	Hysterothylacium aduncum
Hysterothylacium analarum	Hysterothylacium analarum
Hysterothylacium arnoglossi	Hysterothylacium arnoglossi
Hysterothylacium auctum	Hysterothylacium auctum
Hysterothylacium baylisi	Hysterothylacium baylisi
Hysterothylacium bidentatum	Hysterothylacium bidentatum
Hysterothylacium bifidalatum	Hysterothylacium bifidalatum
Hysterothylacium brachyurum	Hysterothylacium brachyurum
Hysterothylacium cenotae	Hysterothylacium cenotae
Hysterothylacium channai	Hysterothylacium channai
Hysterothylacium chaunaxi	Hysterothylacium chaunaxi
Hysterothylacium chrysostomi	Hysterothylacium chrysostomi
Hysterothylacium clavatum	Hysterothylacium clavatum
Hysterothylacium collare	Hysterothylacium collare
Hysterothylacium cornutum	Hysterothylacium cornutum
Hysterothylacium corrugatum	Hysterothylacium corrugatum
Hysterothylacium coryphaenoidi	Hysterothylacium coryphaenoidi
Hysterothylacium cyclopteri	Hysterothylacium cyclopteri
Hysterothylacium dollfusi	Hysterothylacium dollfusi
Hysterothylacium eurycheilum	Hysterothylacium eurycheilum
Hysterothylacium eurychelium	Hysterothylacium eurychelium
Hysterothylacium fabri	Hysterothylacium fabri
Hysterothylacium fluviatile	Hysterothylacium fluviatile
Hysterothylacium fortalezae	Hysterothylacium fortalezae
Hysterothylacium gadi	Hysterothylacium gadi
Hysterothylacium habena	Hysterothylacium habena
Hysterothylacium hanumantharoi	Hysterothylacium hanumantharoi
Hysterothylacium haze	Hysterothylacium haze
Hysterothylacium histiophori	Hysterothylacium histiophori
Hysterothylacium hospitum	Hysterothylacium hospitum
Hysterothylacium hysterothylacium	Hysterothylacium hysterothylacium
Hysterothylacium incurva	Hysterothylacium incurvum
Hysterothylacium incurvum	Hysterothylacium incurvum
Hysterothylacium japonicum	Hysterothylacium japonicum
Hysterothylacium krishnai	Hysterothylacium krishnai
Hysterothylacium legendrei	Hysterothylacium legendrei
Hysterothylacium longicaecum	Hysterothylacium longicaecum
Hysterothylacium magnum	Hysterothylacium magnum
Hysterothylacium marinum	Hysterothylacium marinum
Hysterothylacium md	Hysterothylacium md
Hysterothylacium melanogrammi	Hysterothylacium melanogrammi
Hysterothylacium melichthysi	Hysterothylacium melichthysi
Hysterothylacium murrayense	Hysterothylacium murrayense
Hysterothylacium narayanensis	Hysterothylacium narayanensis
Hysterothylacium neocornutum	Hysterothylacium neocornutum
Hysterothylacium neorhacodes	Hysterothylacium neorhacodes
Hysterothylacium nototheniae	Hysterothylacium nototheniae
Hysterothylacium ogcocephali	Hysterothylacium ogcocephali
Hysterothylacium okadai	Hysterothylacium okadai
Hysterothylacium papilligerum	Hysterothylacium papilligerum
Hysterothylacium paralichthydis	Hysterothylacium paralichthydis
Hysterothylacium patagonense	Hysterothylacium patagonense
Hysterothylacium pelagicum	Hysterothylacium pelagicum
Hysterothylacium perezi	Hysterothylacium perezi
Hysterothylacium petteri	Hysterothylacium petteri
Hysterothylacium physiculi	Hysterothylacium physiculi
Hysterothylacium psettodi	Hysterothylacium psettodi
Hysterothylacium pseudotumbil	Hysterothylacium pseudotumbil
Hysterothylacium punctati	Hysterothylacium punctati
Hysterothylacium reliquens	Hysterothylacium reliquens
Hysterothylacium rhacodes	Hysterothylacium rhacodes
Hysterothylacium rhamdiae	Hysterothylacium rhamdiae
Hysterothylacium rigidum	Hysterothylacium rigidum
Hysterothylacium salvelini	Hysterothylacium salvelini
Hysterothylacium scomberoidei	Hysterothylacium scomberoidei
Hysterothylacium scomberomori	Hysterothylacium scomberomori
Hysterothylacium sebae	Hysterothylacium sebae
Hysterothylacium seriola	Hysterothylacium seriola
Hysterothylacium shyamasundarii	Hysterothylacium shyamasundarii
Hysterothylacium tasmaniense	Hysterothylacium tasmaniense
Hysterothylacium trichiuri	Hysterothylacium trichiuri
Hysterothylacium yaradensis	Hysterothylacium yaradensis
Hysterothylacium zenis	Hysterothylacium zenis
Icelanonchohaptor fyviei	Icelanonchohaptor fyviei
Icelanonchohaptor icelanonchohaptor	Icelanonchohaptor icelanonchohaptor
Icelanonchohaptor microcotyle	Icelanonchohaptor microcotyle
Ichthyascaris biwakoensis	Ichthyascaris biwakoensis
Ichthyascaris chirocentri	Ichthyascaris chirocentri
Ichthyascaris fisheri	Ichthyascaris fisheri
Ichthyascaris gymnocraniae	Ichthyascaris gymnocraniae
Ichthyascaris lophii	Ichthyascaris lophii
Ichthyascaris lutjani	Ichthyascaris lutjani
Ichthyascaris mediterraneus	Ichthyascaris mediterraneus
Ichthyascaris vicentei	Ichthyascaris vicentei
Ichthybothrium ichthybori	Ichthybothrium ichthybori
Ichthyobronema conoura	Ichthyobronema conoura
Ichthyobronema conura	Ichthyobronema conura
Ichthyobronema gnedini	Ichthyobronema gnedini
Ichthyobronema hamulatum	Ichthyobronema hamulatum
Ichthyocotylurus erraticus	Ichthyocotylurus erraticus
Ichthyocotylurus pileatus	Ichthyocotylurus pileatus
Ichthyocotylurus platycephalus	Ichthyocotylurus platycephalus
Ichthyocotylurus variegatus	Ichthyocotylurus variegatus
Ichthyofilaria argentinensis	Ichthyofilaria argentinensis
Ichthyofilaria bergensis	Ichthyofilaria bergensis
Ichthyofilaria canadensis	Ichthyofilaria canadensis
Ichthyostrongylus thunni	Ichthyostrongylus thunni
Ichthyotrema chaetodontis	Flagellotrema chaetodontis
Ichthyotrema vogelsangi	Ichthyotrema vogelsangi
Ichthyouris brasiliensis	Ichthyouris brasiliensis
Ichthyouris bursata	Ichthyouris bursata
Ichthyouris laterifilamenta	Ichthyouris laterifilamenta
Ichthyouris ro	Ichthyouris ro
Ichthyouris voltagrandensis	Ichthyouris voltagrandensis
Iheringascaris inquies	Iheringascaris inquies
Iheringtrema iheringi	Iheringtrema iheringi
Ilisha parthenogenetica	Ilisha parthenogenetica
Illiosentis cetratus	Illiosentis cetratus
Illiosentis furcatus	Illiosentis furcatus
Illiosentis heteracanthus	Illiosentis heteracanthus
Indocapillaria gibsoni	Indocapillaria gibsoni
Indocucullanus alii	Indocucullanus alii
Indocucullanus arabiansae	Indocucullanus arabiansae
Indocucullanus ariusi	Indocucullanus ariusi
Indocucullanus calcariferii	Indocucullanus calcariferii
Indocucullanus guerreroi	Indocucullanus guerreroi
Indocucullanus indica	Indocucullanus indica
Indocucullanus jaiswali	Indocucullanus jaiswali
Indocucullanus jalnaensis	Indocucullanus jalnaensis
Indocucullanus karachii	Indocucullanus karachii
Indocucullanus longispiculum	Indocucullanus longispiculum
Indocucullanus lutjani	Indocucullanus lutjani
Indocucullanus malvanae	Indocucullanus malvanae
Indocucullanus muraenesocis	Indocucullanus muraenesocis
Indocucullanus olivaceus	Indocucullanus olivaceus
