old_pname	new_pname
Accacladium nematulum	Accacladium nematulum
Accacladium serpentulum	Accacladium serpentulum
Accacladium serpentulus	Accacladium serpentulus
Accacladocoelium alveolatum	Accacladocoelium alveolatum
Accacladocoelium macrocotyle	Accacladocoelium macrocotyle
Accacladocoelium nigroflavum	Accacladocoelium nigroflavum
Accacladocoelium petasiporum	Accacladocoelium petasiporum
Accacoelium contortum	Accacoelium contortum
Accessorius peruensis	Accessorius peruensis
Acetodextra ameiuri	Acetodextra ameiuri
Acetodextra amiuri	Acetodextra amiuri
Achoerus pauli	Achoerus pauli
Acleotrema kyphosi	Acleotrema girellae
Acleotrema lamothei	Acleotrema lamothei
Acolpenteron australe	Acolpenteron australe
Acolpenteron catostomi	Acolpenteron catostomi
Acolpenteron nephriticum	Acolpenteron nephriticum
Acolpenteron petruschewskyi	Acolpenteron petruschewskyi
Acolpenteron ureteroecetes	Acolpenteron ureteroecetes
Actinocleidus articularis	Actinocleidus articularis
Actinocleidus bennetti	Actinocleidus bennetti
Actinocleidus bifida	Dactylogyrus bifidus
Actinocleidus brevicirrus	Actinocleidus brevicirrus
Actinocleidus bursatus	Actinocleidus bursatus
Actinocleidus cf.	NA
Actinocleidus crinicirrus	Actinocleidus crinicirrus
Actinocleidus fergusoni	Actinocleidus fergusoni
Actinocleidus flagellatus	Actinocleidus flagellatus
Actinocleidus fusiformis	Actinocleidus fusiformis
Actinocleidus georgiensis	Actinocleidus georgiensis
Actinocleidus gibbosus	Actinocleidus gibbosus
Actinocleidus gracilis	Actinocleidus gracilis
Actinocleidus ileechobeensis	Actinocleidus okeechobeensis
Actinocleidus longus	Crinicleidus longus
Actinocleidus maculatus	Actinocleidus maculatus
Actinocleidus muelleri	Actinocleidus muelleri
Actinocleidus oculatus	Actinocleidus oculatus
Actinocleidus recurvatus	Actinocleidus recurvatus
Actinocleidus reversus	Actinocleidus reversus
Actinocleidus subtriangularis	Actinocleidus subtriangularis
Actinocleidus triangularis	Anchoradiscus triangularis
Adenicola arabica	Adenicola arabica
Adenodidymocystis intestinalis	Adenodidymocystis intestinalis
Adenoscolex oreini	Adenoscolex oreini
Aephnidiogenes africanus	Aephnidiogenes africanus
Aephnidiogenes barbarus	Aephnidiogenes barbarus
Aephnidiogenes hainanensis	Aephnidiogenes hainanensis
Aephnidiogenes indica	Aephnidiogenes indica
Aephnidiogenes isagi	Aephnidiogenes isagi
Aephnidiogenes major	Aephnidiogenes major
Aephnidiogenes senegalensis	Aephnidiogenes senegalensis
Aephnidiogenes vinodae	Aephnidiogenes vinodae
Aethycteron caerulei	Aethycteron caerulei
Aethycteron hargisi	Aethycteron hargisi
Aethycteron malleus	Aethycteron malleus
Aethycteron micropercae	Aethycteron micropercae
Aethycteron moorei	Aethycteron moorei
Aethycteron nigrei	Aethycteron nigrei
Afrocleidodiscus distichodis	Afrocleidodiscus distichodis
Afrocleidodiscus paracleidodiscus	Afrocleidodiscus paracleidodiscus
Agamascaris septentrionalis	Agamascaris septentrionalis
Ageneiella brevifilis	Ageneiella brevifilis
Aglaiogyrodactylus calamus	Aglaiogyrodactylus calamus
Aglaiogyrodactylus conei	Aglaiogyrodactylus conei
Aglaiogyrodactylus ctenistus	Aglaiogyrodactylus ctenistus
Aglaiogyrodactylus forficulatus	Aglaiogyrodactylus forficulatus
Aglaiogyrodactylus forficuloides	Aglaiogyrodactylus forficuloides
Aglaiogyrodactylus guttus	Aglaiogyrodactylus guttus
Aglaiogyrodactylus salebrosus	Aglaiogyrodactylus salebrosus
Agrawalotrema ritai	Agrawalotrema ritai
Ahpua piscicola	Ahpua piscicola
Alcicornis baylisi	Alcicornis baylisi
Alcicornis carangis	Alcicornis carangis
Alcicornis hainanensis	Alcicornis hainanensis
Alcicornis jairajpurii	Alcicornis jairajpurii
Alcicornis longicornutus	Alcicornis longicornutus
Alcicornis multidactylus	Alcicornis multidactylus
Alcicornis rauschi	Alcicornis rauschi
Alcicornis scomberi	Alcicornis scomberi
Alcicornis siddiqi	Alcicornis siddiqi
Alcicornis siddiqii	Alcicornis siddiqii
Alcicornis thapari	Alcicornis thapari
Aliascaris indica	Aliascaris indica
Aliatrema cribbi	Euryhaliotrema cribbi
Alibagascaris pseudosciaenae	Alibagascaris pseudosciaenae
Allacanthochasmus artus	Allacanthochasmus artus
Allacanthochasmus lutjani	Allacanthochasmus lutjani
Allacanthochasmus varius	Allacanthochasmus varius
Allencotyla lutini	Allencotyla lutini
Allencotyla mcintoshi	Allencotyla mcintoshi
Allencotyla pricei	Allencotyla pricei
Allobacciger centropygis	Allobacciger centropygis
Allobacciger macrorchis	Allobacciger macrorchis
Allobenedenia epinepheli	Allobenedenia epinepheli
Allobenedenia yamagutii	Allobenedenia yamagutii
Allobenedenia zhangi	Allobenedenia zhangi
Allocotylophora polyprionum	Allocotylophora polyprionum
Allocreadium arcuatum	Allocreadium arcuatum
Allocreadium aswanensis	Allocreadium aswanensis
Allocreadium baueri	Allocreadium baueri
Allocreadium carparum	Allocreadium carparum
Allocreadium centropomi	Allocreadium centropomi
Allocreadium ctenopharyngodonis	Allocreadium ctenopharyngodonis
Allocreadium dogieli	Allocreadium dogieli
Allocreadium dubium	Allocreadium dubium
Allocreadium duknwai	Allocreadium duknwai
Allocreadium engraulicypridis	Allocreadium engraulicypridis
Allocreadium flexuosa	Allocreadium flexuosa
Allocreadium glossogobium	Allocreadium glossogobium
Allocreadium gotoi	Allocreadium gotoi
Allocreadium halli	Allocreadium halli
Allocreadium hasu	Allocreadium hasu
Allocreadium hupehensis	Allocreadium hupehensis
Allocreadium hypophthalmichthydis	Allocreadium hypophthalmichthydis
Allocreadium isoporum	Allocreadium isoporum
Allocreadium japonicum	Allocreadium japonicum
Allocreadium labracis	Allocreadium labracis
Allocreadium lintoni	Allocreadium lintoni
Allocreadium lucyae	Allocreadium lucyae
Allocreadium markewitschi	Allocreadium markewitschi
Allocreadium mazoensis	Allocreadium mazoensis
Allocreadium mehrai	Allocreadium mehrai
Allocreadium mexicanum	Allocreadium mexicanum
Allocreadium minutum	Allocreadium minutum
Allocreadium opsariichthydis	Allocreadium opsariichthydis
Allocreadium ovatum	Allocreadium ovatum
Allocreadium papilligerum	Allocreadium papilligerum
Allocreadium patagonicum	Allocreadium patagonicum
Allocreadium qinjiangensis	Allocreadium qinjiangensis
Allocreadium stilesi	Allocreadium stilesi
Allocreadium sudanensis	Allocreadium sudanensis
Allocreadium tosai	Allocreadium tosai
Allocreadium transversale	Allocreadium transversale
Allocreadium tribolodontis	Allocreadium tribolodontis
Allocreadium vitellosum	Allocreadium vitellosum
Allocreadium wallini	Allocreadium wallini
Allocreadium wardi	Allocreadium wardi
Allodecemtestis bilqeesae	Allodecemtestis bilqeesae
Allodecemtestis odeningi	Allodecemtestis odeningi
Allodecemtestis skrjabini	Allodecemtestis skrjabini
Allodiclidophora charcoti	Allodiclidophora charcoti
Allodiclidophora squillarum	Allodiclidophora squillarum
Allodiscocotyla chorinemi	Allodiscocotyla chorinemi
Allodiscocotyla diacanthi	Allodiscocotyla diacanthi
Allodiscoides chorinemi	Allodiscoides chorinemi
Allogastrocotyle bivaginalis	Allogastrocotyle bivaginalis
Alloglossidium geminum	Alloglossidium geminum
Alloglossidium geminus	Alloglossidium geminum
Alloglossidium kenti	Alloglossidium kenti
Alloglossidium progeneticum	Alloglossidium progeneticum
Allogomtiotrema attu	Allogomtiotrema attu
Allogomtiotrema vidarbhasi	Allogomtiotrema vidarbhasi
Allolasiotocus pseudosciaenae	Allolasiotocus pseudosciaenae
Allolepidapedon fistulariae	Allolepidapedon fistulariae
Allolepidapedon petimba	Allolepidapedon petimba
Allolepidapedon pristipomoides	Allolepidapedon pristipomoides
Allomacroderoides lepisostei	Allomacroderoides lepisostei
Allomegalocotyla gabbari	Allomegalocotyla gabbari
Allomegalocotyla johnstoni	Allomegalocotyla johnstoni
Allometabenedeniella orbicularis	Allometabenedeniella orbicularis
Allometabenedeniella plataxi	Allometabenedeniella plataxi
Allometanematobothrioides lepidocybii	Allometanematobothrioides lepidocybii
Allomonorchis huangfuensis	Allomonorchis huangfuensis
Allomurraytrema argyrosomi	Allomurraytrema argyrosomi
Allomurraytrema robustum	Allomurraytrema robustum
Allomurraytrema sciaenae	Allomurraytrema sciaenae
Allomurraytrema spari	Allomurraytrema spari
Allonematobothrioides scombri	Allonematobothrioides scombri
Allonematobothrium apharei	Allonematobothrium apharei
Allonematobothrium epinepheli	Allonematobothrium epinepheli
Allonematobothrium ghanensis	Allonematobothrium ghanensis
Allonematobothrium megalaspi	Allonematobothrium megalaspi
Allonematobothrium yucatanense	Allonematobothrium yucatanense
Alloplectognathotrema tsushimaense	Alloplectognathotrema tsushimaense
Allopodocotyle argyropsi	Allopodocotyle argyropsi
Allopodocotyle boleosomi	Allopodocotyle boleosomi
Allopodocotyle chiliticorum	Allopodocotyle chiliticorum
Allopodocotyle epinepheli	Allopodocotyle epinepheli
Allopodocotyle pritchardae	Allopodocotyle pritchardae
Allopodocotyle skoliorchis	Allopodocotyle skoliorchis
Allopodocotyle trichiuri	Allopodocotyle trichiuri
Allopseudaxine katsuwonis	Allopseudaxine katsuwonis
Allopseudaxine vagans	Allopseudaxine vagans
Allopseudaxinoides vagans	Allopseudaxinoides vagans
Allopseudocolocyntotrema alioshkini	Allopseudocolocyntotrema alioshkini
Allopseudodiclidophora opelu	Allopseudodiclidophora opelu
Allopyragraphorus caballeroi	Allopyragraphorus caballeroi
Allopyragraphorus hippos	Allopyragraphorus hippos
Allopyragraphorus incomparabilis	Allopyragraphorus incomparabilis
